model,mean,std,var,num_words_miss
data1-cbow-d500-w2-e10.model,0.4456348724698663,0.25827716033707127,0.06670709155178121,1422
all_data-cbow-d500-w2-e15.model,0.23981749489735,0.2120584003787544,0.0449687651711961,644
data2-cbow-d500-w2-e15.model,0.32984059500892376,0.2515616642254619,0.06328327090788403,1221
data1-skip_gram-d100-w10-e15.model,0.24277110733349633,0.30495597666715024,0.09299814770501547,1422
all_data-skip_gram-d300-w2-e5.model,0.4997864316254151,0.23759182490202121,0.0564498752602727,644
data2-cbow-d500-w2-e5.model,0.6039727102821253,0.231580307726568,0.05362943892673194,1221
all_data-skip_gram-d500-w8-e5.model,0.32730071900716795,0.2892054096390896,0.0836397689645136,644
data2-skip_gram-d100-w4-e5.model,0.5219981403256034,0.2706935024920018,0.0732749722913874,1221
data1-cbow-d100-w10-e5.model,0.40168361893523946,0.3299717676059884,0.10888136741702041,1422
all_data-skip_gram-d100-w8-e5.model,0.33109691744798264,0.2931341118734751,0.08592760754385101,644
all_data-skip_gram-d300-w2-e15.model,0.24590118350758,0.2152536536283314,0.046334135400345665,644
all_data-cbow-d300-w4-e5.model,0.4033416737255275,0.2738921806878882,0.0750169266419668,644
data2-cbow-d100-w8-e15.model,0.24432055662515545,0.29260276934287094,0.08561638062711734,1221
data1-skip_gram-d100-w10-e10.model,0.28877606412801693,0.3177992642301129,0.10099637234520113,1422
data1-skip_gram-d500-w6-e15.model,0.26334061452135754,0.2927833335920713,0.08572208042928611,1422
data1-skip_gram-d100-w2-e5.model,0.6155794186740515,0.23420601473348565,0.0548524573373417,1422
data2-cbow-d500-w8-e15.model,0.23516483654833628,0.28254213597391087,0.07983005860069994,1221
all_data-skip_gram-d300-w4-e5.model,0.40611613963288323,0.2718493617587114,0.07390207548861873,644
data2-skip_gram-d100-w10-e5.model,0.397608344721791,0.3167326264857905,0.10031955668058727,1221
data1-skip_gram-d300-w2-e15.model,0.3413092271517085,0.26043656168062285,0.06782720266002486,1422
all_data-skip_gram-d500-w2-e10.model,0.3266647285813728,0.22606022228373462,0.05110322409897151,644
data1-cbow-d500-w10-e5.model,0.39451251561725625,0.33094156553468734,0.10952231979854975,1422
data2-skip_gram-d500-w2-e15.model,0.3277821370053196,0.25155075981731045,0.06327778476466622,1221
data2-cbow-d500-w4-e10.model,0.35288690319421084,0.2822193292825302,0.0796477498206812,1221
